Brand,"Part number(s)",Type,Diameter,Thickness,Height,Weight,Description
Porsche,477 405 083 A,vented,282.5,20.5,35,5.4,"944 <= 1986, 911 1974-1983"
Porsche,944 351 041 05,vented,282.5,20.5,74.2,5.95,944/944S >= 1987
Porsche,951 351 041 00,vented,298,28,45,6.7,944 Turbo <= 1986
Porsche,951 351 041 02,vented,298,28,74,7.1,"944 S2/Turbo >= 1987"
Porsche,"L: 928 351 043 60, R: 928 351 044 60",vented,304,32,77,8.1,944 Turbo S
Porsche,901 351 401 11,solid,282,12.7,36,4.7,911 <=1969
Porsche,901 351 041 16,vented,282.5,20.5,35,5.4,911 <=1973
Porsche,911 351 041 22,vented,282.5,24,35,5.6,911 1984-1989
Porsche,"L: 930 351 047 00, R: 930 351 048 00",vented,304,32,29.7,5.6,911 Turbo <=1980
Porsche,"L: 930 351 047 01, R: 930 351 048 01",vented,304,32,57,6.9,911 Turbo 1981-1986
Porsche,"L: 930 351 047 02, R: 930 351 048 02",vented,304,32,57,6.9,911 Turbo 1987-1989
Porsche,986 351 401 05,vented,298,24,67,6.48,986 Boxster
Porsche,"L: 996 351 405 01, R: 996 351 406 01",vented,318,28,67,8.62,986 Boxster S
